file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,closeCrap/0,false,453,1,3,1,2,2,7,13,0,0,0,7,2,1,0,0,1,0,2,0,0,0,1,0,0,0,11,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,showMessage/1[java.lang.String],false,425,0,7,6,1,1,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,formWindowClosing/1[java.awt.event.WindowEvent],false,290,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,whileChatting/0,false,388,1,2,1,1,4,6,17,0,0,0,6,1,1,1,0,1,0,2,0,1,0,2,0,0,0,18,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,jMenuItem2ActionPerformed/1[java.awt.event.ActionEvent],false,254,1,2,1,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,jMenuItem1ActionPerformed/1[java.awt.event.ActionEvent],false,247,1,2,1,1,1,3,5,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,sendMessage/1[java.lang.String],false,411,1,3,2,1,2,4,10,0,0,1,4,1,1,0,0,1,0,3,0,0,2,1,0,0,0,8,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,warnUser/1[java.lang.String],false,470,0,4,4,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,savebuttonActionPerformed/1[java.awt.event.ActionEvent],false,243,1,2,1,1,1,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,messageboxActionPerformed/1[java.awt.event.ActionEvent],false,227,1,3,1,2,1,4,6,0,0,1,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client,append/1[java.lang.String],false,437,1,2,1,1,4,6,12,1,3,1,6,1,1,0,1,1,0,2,0,3,1,2,0,0,0,20,2,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous15,run/0,false,430,1,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,83,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous10,actionPerformed/1[java.awt.event.ActionEvent],false,188,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous11,actionPerformed/1[java.awt.event.ActionEvent],false,196,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\ChatServer.java,chat.ChatServer,main/1[java.lang.String[]],false,18,1,1,0,1,15,8,28,0,2,1,8,0,0,0,6,2,18,6,3,7,0,2,0,0,0,28,9,0,true
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous8,actionPerformed/1[java.awt.event.ActionEvent],false,172,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\About.java,chatclient.About,"About/2[java.awt.Frame,boolean]",true,16,1,2,1,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\About.java,chatclient.About,initComponents/0,false,28,0,1,1,0,2,21,21,0,1,0,21,0,0,0,0,1,0,4,2,3,0,1,0,0,0,42,2,0,true
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous7,actionPerformed/1[java.awt.event.ActionEvent],false,160,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous9,actionPerformed/1[java.awt.event.ActionEvent],false,180,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,123,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],false,128,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous3,hyperlinkUpdate/1[javax.swing.event.HyperlinkEvent],false,103,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server$Anonymous5,actionPerformed/1[java.awt.event.ActionEvent],false,140,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\OOD\Java\netchat-java-master\ChatClient\src\chatclient\Client.java,chatclient.Client$Anonymous6,actionPerformed/1[java.awt.event.ActionEvent],false,145,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,92,1,18,0,18,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server,closeCrap/0,false,356,1,3,1,2,2,7,12,0,0,0,7,2,1,0,0,1,0,1,0,0,0,1,0,0,0,11,2,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server,messageboxActionPerformed/1[java.awt.event.ActionEvent],false,203,1,3,1,2,1,4,6,0,0,1,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server,waitForConnection/0,false,317,1,2,1,1,1,5,5,0,0,0,5,1,1,0,0,0,0,4,0,1,1,0,0,0,0,12,2,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server,progress/1[boolean],false,252,0,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\OOD\Java\netchat-java-master\ChatServer\src\chat\Server.java,chat.Server,showMessage/1[java.lang.String],false,372,0,7,6,1,1,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,false
