file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\java-ecommerce-cli-main\src\Utils.java,src.Utils,getNewId/1[java.lang.String],false,124,1,4,3,1,2,3,11,2,3,1,3,0,0,0,0,1,0,1,3,3,1,1,0,0,0,10,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Utils.java,src.Utils,"getIntInRange/4[java.lang.String,int,int,java.util.Scanner]",false,55,1,5,3,2,5,8,22,1,1,4,8,0,0,1,0,0,0,2,1,2,0,3,0,0,0,16,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Utils.java,src.Utils,"getBigIntInRange/4[java.lang.String,int,int,java.util.Scanner]",false,77,1,3,1,2,5,8,22,1,1,4,8,0,0,1,0,0,0,3,0,2,0,3,0,0,0,17,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Driver.java,src.Driver,authenticateUser/1[java.util.Scanner],false,143,5,9,1,8,3,6,15,1,3,1,6,0,0,1,0,0,0,5,4,5,1,2,0,0,0,14,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Driver.java,src.Driver,getOrCreateOrders/0,false,169,1,2,1,1,2,0,8,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,7,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Driver.java,src.Driver,main/1[java.lang.String[]],false,11,7,17,0,17,22,19,108,0,11,1,19,2,1,2,8,0,0,24,13,13,1,5,0,0,0,44,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,print/1[java.util.Vector<src.Product>],false,70,2,2,1,1,2,6,10,0,3,1,6,1,2,1,0,0,2,13,0,3,1,1,0,0,0,8,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,"formatAsTable/3[java.util.List<java.util.List<java.lang.String>>,java.lang.String,java.lang.String]",false,123,2,5,4,1,6,12,30,1,6,3,12,1,1,4,1,0,0,7,6,7,2,2,0,0,0,22,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,"print/2[java.lang.String,boolean]",false,23,0,4,4,0,2,1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,"print/2[java.lang.String,java.lang.String]",false,33,0,8,8,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,printOrders/1[java.util.Vector<src.Order>],false,84,2,2,1,1,3,11,19,0,6,1,11,1,2,2,0,0,0,16,0,6,1,2,0,0,0,14,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,getDashes/1[int],false,114,0,1,1,0,2,0,7,1,2,1,0,0,0,1,0,0,0,2,1,3,0,1,0,0,0,7,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,print/1[java.lang.Integer],false,37,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,"print/2[java.util.Vector<src.Product>,java.lang.Double]",false,41,2,2,1,1,3,9,20,0,5,2,9,1,2,1,0,0,2,36,0,5,2,2,0,0,0,13,9,0,false
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,print/1[java.lang.String],false,29,0,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
